Source,Target,Weight
100001684539523,100022423986574,1
100001684539523,100014362902672,1
100001684539523,100043156562199,1
100001684539523,100050469920542,1
100001684539523,100089308819242,1
100001684539523,100073814203575,1
100001684539523,100017687881919,1
100001684539523,100093277244095,1
100001684539523,1274827215,1
100001684539523,100053788175062,1
100001684539523,100035259465840,1
100001684539523,100054157940597,1
100064325330824,100022423986574,1
100064325330824,100014362902672,1
100064325330824,100054822065300,1
100064325330824,100043156562199,1
100064325330824,100011342852897,1
100064325330824,100030872834084,1
100064325330824,100089308819242,1
100064325330824,100035896125098,1
100064325330824,100015666964603,1
100064325330824,100073814203575,1
100064325330824,100043264090427,1
100064325330824,100081409162943,1
100064325330824,100093277244095,1
100064325330824,100022149903187,1
100064325330824,100053788175062,1
100064325330824,100048897124951,1
100064325330824,100035023396460,1
100064325330824,100064565297134,1
100064325330824,100035259465840,1
100022423986574,100001684539523,1
100022423986574,100064325330824,1
100022423986574,100014362902672,1
100022423986574,100054822065300,1
100022423986574,100043156562199,1
100022423986574,100050469920542,1
100022423986574,100030872834084,1
100022423986574,100089308819242,1
100022423986574,100015666964603,1
100022423986574,100073814203575,1
100022423986574,100017687881919,1
100022423986574,100093277244095,1
100022423986574,1274827215,1
100022423986574,100022149903187,1
100022423986574,100053788175062,1
100022423986574,100035259465840,1
100022423986574,100054157940597,1
100009611611790,100054822065300,1
100009611611790,100033949173780,1
100009611611790,100050469920542,1
100009611611790,100066666066590,1
100009611611790,100030872834084,1
100009611611790,100073814203575,1
100009611611790,100022149903187,1
100009611611790,100064565297134,1
100009611611790,100009349743990,1
100009611611790,61565580315900,1
100014362902672,100001684539523,1
100014362902672,100064325330824,1
100014362902672,100022423986574,1
100014362902672,100054822065300,1
100014362902672,100075012562453,1
100014362902672,100043156562199,1
100014362902672,100050469920542,1
100014362902672,100030872834084,1
100014362902672,100089308819242,1
100014362902672,100015666964603,1
100014362902672,100073814203575,1
100014362902672,100017687881919,1
100014362902672,100093277244095,1
100014362902672,1274827215,1
100014362902672,100022149903187,1
100014362902672,100053788175062,1
100014362902672,100048897124951,1
100014362902672,100035259465840,1
100014362902672,100054157940597,1
100014362902672,100086389967483,1
100054822065300,100064325330824,1
100054822065300,100022423986574,1
100054822065300,100009611611790,1
100054822065300,100014362902672,1
100054822065300,100033949173780,1
100054822065300,100043156562199,1
100054822065300,100050469920542,1
100054822065300,100066666066590,1
100054822065300,100011342852897,1
100054822065300,100030872834084,1
100054822065300,100089308819242,1
100054822065300,100035896125098,1
100054822065300,100015666964603,1
100054822065300,100073814203575,1
100054822065300,100043264090427,1
100054822065300,100081409162943,1
100054822065300,100093277244095,1
100054822065300,100022149903187,1
100054822065300,100053788175062,1
100054822065300,100048897124951,1
100054822065300,100035023396460,1
100054822065300,100064565297134,1
100054822065300,100035259465840,1
100054822065300,100009349743990,1
100054822065300,61565580315900,1
100075012562453,100014362902672,1
100075012562453,100093277244095,1
100075012562453,100022149903187,1
100033949173780,100009611611790,1
100033949173780,100054822065300,1
100033949173780,100050469920542,1
100033949173780,100066666066590,1
100033949173780,100030872834084,1
100033949173780,100073814203575,1
100033949173780,100022149903187,1
100033949173780,100064565297134,1
100033949173780,100009349743990,1
100033949173780,61565580315900,1
100043156562199,100001684539523,1
100043156562199,100064325330824,1
100043156562199,100022423986574,1
100043156562199,100014362902672,1
100043156562199,100054822065300,1
100043156562199,100050469920542,1
100043156562199,100030872834084,1
100043156562199,100089308819242,1
100043156562199,100073814203575,1
100043156562199,100043264090427,1
100043156562199,100017687881919,1
100043156562199,100093277244095,1
100043156562199,1274827215,1
100043156562199,100053788175062,1
100043156562199,100035259465840,1
100043156562199,100054157940597,1
100050469920542,100001684539523,1
100050469920542,100022423986574,1
100050469920542,100009611611790,1
100050469920542,100014362902672,1
100050469920542,100054822065300,1
100050469920542,100033949173780,1
100050469920542,100043156562199,1
100050469920542,100066666066590,1
100050469920542,100030872834084,1
100050469920542,100089308819242,1
100050469920542,100073814203575,1
100050469920542,100017687881919,1
100050469920542,100093277244095,1
100050469920542,1274827215,1
100050469920542,100022149903187,1
100050469920542,100053788175062,1
100050469920542,100064565297134,1
100050469920542,100035259465840,1
100050469920542,100054157940597,1
100050469920542,100009349743990,1
100050469920542,61565580315900,1
100066666066590,100009611611790,1
100066666066590,100054822065300,1
100066666066590,100033949173780,1
100066666066590,100050469920542,1
100066666066590,100030872834084,1
100066666066590,100073814203575,1
100066666066590,100022149903187,1
100066666066590,100064565297134,1
100066666066590,100009349743990,1
100066666066590,61565580315900,1
100011342852897,100064325330824,1
100011342852897,100054822065300,1
100011342852897,100030872834084,1
100011342852897,100089308819242,1
100011342852897,100035896125098,1
100011342852897,100081409162943,1
100011342852897,100022149903187,1
100011342852897,100053788175062,1
100011342852897,100048897124951,1
100011342852897,100035023396460,1
100011342852897,100064565297134,1
100011342852897,100035259465840,1
100030872834084,100064325330824,1
100030872834084,100022423986574,1
100030872834084,100009611611790,1
100030872834084,100014362902672,1
100030872834084,100054822065300,1
100030872834084,100033949173780,1
100030872834084,100043156562199,1
100030872834084,100050469920542,1
100030872834084,100066666066590,1
100030872834084,100011342852897,1
100030872834084,100089308819242,1
100030872834084,100035896125098,1
100030872834084,100015666964603,1
100030872834084,100073814203575,1
100030872834084,100043264090427,1
100030872834084,100081409162943,1
100030872834084,100093277244095,1
100030872834084,100022149903187,1
100030872834084,100053788175062,1
100030872834084,100048897124951,1
100030872834084,100035023396460,1
100030872834084,100064565297134,1
100030872834084,100035259465840,1
100030872834084,100009349743990,1
100030872834084,61565580315900,1
100089308819242,100001684539523,1
100089308819242,100064325330824,1
100089308819242,100022423986574,1
100089308819242,100014362902672,1
100089308819242,100054822065300,1
100089308819242,100043156562199,1
100089308819242,100050469920542,1
100089308819242,100011342852897,1
100089308819242,100030872834084,1
100089308819242,100035896125098,1
100089308819242,100015666964603,1
100089308819242,100073814203575,1
100089308819242,100017687881919,1
100089308819242,100081409162943,1
100089308819242,100093277244095,1
100089308819242,1274827215,1
100089308819242,100022149903187,1
100089308819242,100053788175062,1
100089308819242,100048897124951,1
100089308819242,100035023396460,1
100089308819242,100064565297134,1
100089308819242,100035259465840,1
100089308819242,100054157940597,1
100089308819242,100086389967483,1
100035896125098,100064325330824,1
100035896125098,100054822065300,1
100035896125098,100011342852897,1
100035896125098,100030872834084,1
100035896125098,100089308819242,1
100035896125098,100081409162943,1
100035896125098,100022149903187,1
100035896125098,100053788175062,1
100035896125098,100048897124951,1
100035896125098,100035023396460,1
100035896125098,100064565297134,1
100035896125098,100035259465840,1
100015666964603,100064325330824,1
100015666964603,100022423986574,1
100015666964603,100014362902672,1
100015666964603,100054822065300,1
100015666964603,100030872834084,1
100015666964603,100089308819242,1
100015666964603,100073814203575,1
100015666964603,100093277244095,1
100015666964603,100022149903187,1
100015666964603,100053788175062,1
100015666964603,100048897124951,1
100015666964603,100086389967483,1
100073814203575,100001684539523,1
100073814203575,100064325330824,1
100073814203575,100022423986574,1
100073814203575,100009611611790,1
100073814203575,100014362902672,1
100073814203575,100054822065300,1
100073814203575,100033949173780,1
100073814203575,100043156562199,1
100073814203575,100050469920542,1
100073814203575,100066666066590,1
100073814203575,100030872834084,1
100073814203575,100089308819242,1
100073814203575,100015666964603,1
100073814203575,100043264090427,1
100073814203575,100017687881919,1
100073814203575,100093277244095,1
100073814203575,1274827215,1
100073814203575,100022149903187,1
100073814203575,100053788175062,1
100073814203575,100048897124951,1
100073814203575,100064565297134,1
100073814203575,100035259465840,1
100073814203575,100054157940597,1
100073814203575,100009349743990,1
100073814203575,100086389967483,1
100073814203575,61565580315900,1
100043264090427,100064325330824,1
100043264090427,100054822065300,1
100043264090427,100043156562199,1
100043264090427,100030872834084,1
100043264090427,100073814203575,1
100043264090427,100093277244095,1
100043264090427,100053788175062,1
100043264090427,100035259465840,1
100017687881919,100001684539523,1
100017687881919,100022423986574,1
100017687881919,100014362902672,1
100017687881919,100043156562199,1
100017687881919,100050469920542,1
100017687881919,100089308819242,1
100017687881919,100073814203575,1
100017687881919,100093277244095,1
100017687881919,1274827215,1
100017687881919,100053788175062,1
100017687881919,100035259465840,1
100017687881919,100054157940597,1
100081409162943,100064325330824,1
100081409162943,100054822065300,1
100081409162943,100011342852897,1
100081409162943,100030872834084,1
100081409162943,100089308819242,1
100081409162943,100035896125098,1
100081409162943,100022149903187,1
100081409162943,100053788175062,1
100081409162943,100048897124951,1
100081409162943,100035023396460,1
100081409162943,100064565297134,1
100081409162943,100035259465840,1
100093277244095,100001684539523,1
100093277244095,100064325330824,1
100093277244095,100022423986574,1
100093277244095,100014362902672,1
100093277244095,100054822065300,1
100093277244095,100075012562453,1
100093277244095,100043156562199,1
100093277244095,100050469920542,1
100093277244095,100030872834084,1
100093277244095,100089308819242,1
100093277244095,100015666964603,1
100093277244095,100073814203575,1
100093277244095,100043264090427,1
100093277244095,100017687881919,1
100093277244095,1274827215,1
100093277244095,100022149903187,1
100093277244095,100053788175062,1
100093277244095,100048897124951,1
100093277244095,100035259465840,1
100093277244095,100054157940597,1
100093277244095,100086389967483,1
1274827215,100001684539523,1
1274827215,100022423986574,1
1274827215,100014362902672,1
1274827215,100043156562199,1
1274827215,100050469920542,1
1274827215,100089308819242,1
1274827215,100073814203575,1
1274827215,100017687881919,1
1274827215,100093277244095,1
1274827215,100053788175062,1
1274827215,100035259465840,1
1274827215,100054157940597,1
100022149903187,100064325330824,1
100022149903187,100022423986574,1
100022149903187,100009611611790,1
100022149903187,100014362902672,1
100022149903187,100054822065300,1
100022149903187,100075012562453,1
100022149903187,100033949173780,1
100022149903187,100050469920542,1
100022149903187,100066666066590,1
100022149903187,100011342852897,1
100022149903187,100030872834084,1
100022149903187,100089308819242,1
100022149903187,100035896125098,1
100022149903187,100015666964603,1
100022149903187,100073814203575,1
100022149903187,100081409162943,1
100022149903187,100093277244095,1
100022149903187,100053788175062,1
100022149903187,100048897124951,1
100022149903187,100035023396460,1
100022149903187,100064565297134,1
100022149903187,100035259465840,1
100022149903187,100009349743990,1
100022149903187,100086389967483,1
100022149903187,61565580315900,1
100053788175062,100001684539523,1
100053788175062,100064325330824,1
100053788175062,100022423986574,1
100053788175062,100014362902672,1
100053788175062,100054822065300,1
100053788175062,100043156562199,1
100053788175062,100050469920542,1
100053788175062,100011342852897,1
100053788175062,100030872834084,1
100053788175062,100089308819242,1
100053788175062,100035896125098,1
100053788175062,100015666964603,1
100053788175062,100073814203575,1
100053788175062,100043264090427,1
100053788175062,100017687881919,1
100053788175062,100081409162943,1
100053788175062,100093277244095,1
100053788175062,1274827215,1
100053788175062,100022149903187,1
100053788175062,100048897124951,1
100053788175062,100035023396460,1
100053788175062,100064565297134,1
100053788175062,100035259465840,1
100053788175062,100054157940597,1
100053788175062,100086389967483,1
100048897124951,100064325330824,1
100048897124951,100014362902672,1
100048897124951,100054822065300,1
100048897124951,100011342852897,1
100048897124951,100030872834084,1
100048897124951,100089308819242,1
100048897124951,100035896125098,1
100048897124951,100015666964603,1
100048897124951,100073814203575,1
100048897124951,100081409162943,1
100048897124951,100093277244095,1
100048897124951,100022149903187,1
100048897124951,100053788175062,1
100048897124951,100035023396460,1
100048897124951,100064565297134,1
100048897124951,100035259465840,1
100048897124951,100086389967483,1
100035023396460,100064325330824,1
100035023396460,100054822065300,1
100035023396460,100011342852897,1
100035023396460,100030872834084,1
100035023396460,100089308819242,1
100035023396460,100035896125098,1
100035023396460,100081409162943,1
100035023396460,100022149903187,1
100035023396460,100053788175062,1
100035023396460,100048897124951,1
100035023396460,100064565297134,1
100035023396460,100035259465840,1
100064565297134,100064325330824,1
100064565297134,100009611611790,1
100064565297134,100054822065300,1
100064565297134,100033949173780,1
100064565297134,100050469920542,1
100064565297134,100066666066590,1
100064565297134,100011342852897,1
100064565297134,100030872834084,1
100064565297134,100089308819242,1
100064565297134,100035896125098,1
100064565297134,100073814203575,1
100064565297134,100081409162943,1
100064565297134,100022149903187,1
100064565297134,100053788175062,1
100064565297134,100048897124951,1
100064565297134,100035023396460,1
100064565297134,100035259465840,1
100064565297134,100009349743990,1
100064565297134,61565580315900,1
100035259465840,100001684539523,1
100035259465840,100064325330824,1
100035259465840,100022423986574,1
100035259465840,100014362902672,1
100035259465840,100054822065300,1
100035259465840,100043156562199,1
100035259465840,100050469920542,1
100035259465840,100011342852897,1
100035259465840,100030872834084,1
100035259465840,100089308819242,1
100035259465840,100035896125098,1
100035259465840,100073814203575,1
100035259465840,100043264090427,1
100035259465840,100017687881919,1
100035259465840,100081409162943,1
100035259465840,100093277244095,1
100035259465840,1274827215,1
100035259465840,100022149903187,1
100035259465840,100053788175062,1
100035259465840,100048897124951,1
100035259465840,100035023396460,1
100035259465840,100064565297134,1
100035259465840,100054157940597,1
100054157940597,100001684539523,1
100054157940597,100022423986574,1
100054157940597,100014362902672,1
100054157940597,100043156562199,1
100054157940597,100050469920542,1
100054157940597,100089308819242,1
100054157940597,100073814203575,1
100054157940597,100017687881919,1
100054157940597,100093277244095,1
100054157940597,1274827215,1
100054157940597,100053788175062,1
100054157940597,100035259465840,1
100009349743990,100009611611790,1
100009349743990,100054822065300,1
100009349743990,100033949173780,1
100009349743990,100050469920542,1
100009349743990,100066666066590,1
100009349743990,100030872834084,1
100009349743990,100073814203575,1
100009349743990,100022149903187,1
100009349743990,100064565297134,1
100009349743990,61565580315900,1
100086389967483,100014362902672,1
100086389967483,100089308819242,1
100086389967483,100015666964603,1
100086389967483,100073814203575,1
100086389967483,100093277244095,1
100086389967483,100022149903187,1
100086389967483,100053788175062,1
100086389967483,100048897124951,1
61565580315900,100009611611790,1
61565580315900,100054822065300,1
61565580315900,100033949173780,1
61565580315900,100050469920542,1
61565580315900,100066666066590,1
61565580315900,100030872834084,1
61565580315900,100073814203575,1
61565580315900,100022149903187,1
61565580315900,100064565297134,1
61565580315900,100009349743990,1
